dictSize,batchSize,appendTimeMillisec,
1, 1, 1148,
2, 1, 1662,
3, 1, 671,
4, 1, 2795,
5, 1, 626,
6, 1, 1437,
7, 1, 750,
8, 1, 5809,
9, 1, 800,
10, 1, 1850,
11, 1, 705,
12, 1, 3047,
13, 1, 708,
14, 1, 1579,
15, 1, 1196,
16, 1, 11646,
17, 1, 800,
18, 1, 1419,
19, 1, 962,
20, 1, 2762,
21, 1, 654,
22, 1, 1302,
23, 1, 616,
24, 1, 5372,
25, 1, 815,
26, 1, 1731,
27, 1, 656,
28, 1, 2831,
29, 1, 812,
30, 1, 1435,
31, 1, 689,
32, 1, 22530,
33, 1, 759,
34, 1, 1348,
35, 1, 790,
36, 1, 3405,
37, 1, 898,
38, 1, 1711,
39, 1, 828,
40, 1, 5830,
41, 1, 857,
42, 1, 1504,
43, 1, 727,
44, 1, 3229,
45, 1, 780,
46, 1, 1645,
47, 1, 979,
48, 1, 11471,
49, 1, 668,
50, 1, 1667,
51, 1, 669,
52, 1, 3060,
53, 1, 1049,
54, 1, 1570,
55, 1, 744,
56, 1, 6274,
57, 1, 823,
58, 1, 1477,
59, 1, 808,
60, 1, 3054,
61, 1, 749,
62, 1, 1641,
63, 1, 679,
64, 1, 47189,
65, 1, 760,
66, 1, 1507,
67, 1, 693,
68, 1, 2942,
69, 1, 803,
70, 1, 1561,
71, 1, 826,
72, 1, 5593,
73, 1, 776,
74, 1, 1435,
75, 1, 735,
76, 1, 2924,
77, 1, 628,
78, 1, 1529,
79, 1, 626,
80, 1, 11395,
81, 1, 656,
82, 1, 1492,
83, 1, 662,
84, 1, 3275,
85, 1, 989,
86, 1, 1676,
87, 1, 855,
88, 1, 6636,
89, 1, 859,
90, 1, 1490,
91, 1, 833,
92, 1, 2821,
93, 1, 701,
94, 1, 1605,
95, 1, 748,
96, 1, 23571,
97, 1, 710,
98, 1, 1445,
99, 1, 626,
100, 1, 3288,
101, 1, 787,
102, 1, 1801,
103, 1, 831,
104, 1, 6480,
105, 1, 731,
106, 1, 1663,
107, 1, 770,
108, 1, 2806,
109, 1, 699,
110, 1, 1289,
111, 1, 609,
112, 1, 12174,
113, 1, 1056,
114, 1, 1598,
115, 1, 686,
116, 1, 2673,
117, 1, 873,
118, 1, 1607,
119, 1, 711,
120, 1, 6666,
121, 1, 711,
122, 1, 1924,
123, 1, 822,
124, 1, 3593,
125, 1, 809,
126, 1, 1909,
127, 1, 713,
128, 1, 104076,
129, 1, 949,
130, 1, 1557,
131, 1, 1038,
132, 1, 3569,
133, 1, 633,
134, 1, 1499,
135, 1, 666,
136, 1, 5713,
137, 1, 803,
138, 1, 1559,
139, 1, 1066,
140, 1, 3187,
141, 1, 741,
142, 1, 1915,
143, 1, 929,
144, 1, 14628,
145, 1, 1038,
146, 1, 1463,
147, 1, 1121,
148, 1, 3525,
149, 1, 849,
150, 1, 1490,
151, 1, 671,
152, 1, 5540,
153, 1, 670,
154, 1, 1510,
155, 1, 957,
156, 1, 2985,
157, 1, 627,
158, 1, 1415,
159, 1, 648,
160, 1, 24540,
161, 1, 635,
162, 1, 1389,
163, 1, 861,
164, 1, 3884,
165, 1, 1092,
166, 1, 2002,
167, 1, 902,
168, 1, 6329,
169, 1, 975,
170, 1, 1845,
171, 1, 648,
172, 1, 3387,
173, 1, 788,
174, 1, 1612,
175, 1, 869,
176, 1, 12891,
177, 1, 969,
178, 1, 1843,
179, 1, 1146,
180, 1, 3146,
181, 1, 640,
182, 1, 2023,
183, 1, 790,
184, 1, 7418,
185, 1, 1027,
186, 1, 1786,
187, 1, 820,
188, 1, 3272,
189, 1, 995,
190, 1, 1980,
191, 1, 854,
192, 1, 50928,
193, 1, 950,
194, 1, 1908,
195, 1, 625,
196, 1, 2854,
197, 1, 773,
198, 1, 1442,
199, 1, 666,
200, 1, 5513,
201, 1, 1077,
202, 1, 1787,
203, 1, 779,
204, 1, 3546,
205, 1, 675,
206, 1, 1738,
207, 1, 714,
208, 1, 12653,
209, 1, 1090,
210, 1, 1960,
211, 1, 777,
212, 1, 3262,
213, 1, 672,
214, 1, 1516,
215, 1, 784,
216, 1, 6649,
217, 1, 1172,
218, 1, 1519,
219, 1, 944,
220, 1, 2976,
221, 1, 687,
222, 1, 1462,
223, 1, 632,
224, 1, 24680,
225, 1, 969,
226, 1, 1792,
227, 1, 1003,
228, 1, 3202,
229, 1, 866,
230, 1, 1685,
231, 1, 1197,
232, 1, 7074,
233, 1, 1179,
234, 1, 1952,
235, 1, 652,
236, 1, 3066,
237, 1, 693,
238, 1, 1408,
239, 1, 616,
240, 1, 13504,
241, 1, 965,
242, 1, 1919,
243, 1, 840,
244, 1, 3289,
245, 1, 1002,
246, 1, 1649,
247, 1, 942,
248, 1, 7097,
249, 1, 886,
250, 1, 1697,
251, 1, 1005,
252, 1, 3612,
253, 1, 1237,
254, 1, 1764,
255, 1, 1033,
256, 1, 214677,
257, 1, 969,
258, 1, 1810,
259, 1, 673,
260, 1, 2998,
261, 1, 630,
262, 1, 1404,
263, 1, 704,
264, 1, 5803,
265, 1, 1206,
266, 1, 1932,
267, 1, 883,
268, 1, 3246,
269, 1, 888,
270, 1, 1540,
271, 1, 759,
272, 1, 13037,
273, 1, 770,
274, 1, 1683,
275, 1, 729,
276, 1, 3346,
277, 1, 1023,
278, 1, 1574,
279, 1, 635,
280, 1, 6527,
281, 1, 755,
282, 1, 1660,
283, 1, 680,
284, 1, 2818,
285, 1, 699,
286, 1, 1479,
287, 1, 633,
288, 1, 25615,
289, 1, 658,
290, 1, 1801,
291, 1, 834,
292, 1, 3438,
293, 1, 895,
294, 1, 1353,
295, 1, 929,
296, 1, 7174,
297, 1, 843,
298, 1, 1471,
299, 1, 883,
300, 1, 3026,
301, 1, 631,
302, 1, 1476,
303, 1, 667,
304, 1, 12719,
305, 1, 628,
306, 1, 1611,
307, 1, 643,
308, 1, 2788,
309, 1, 643,
310, 1, 1371,
311, 1, 670,
312, 1, 6654,
313, 1, 690,
314, 1, 1894,
315, 1, 856,
316, 1, 2921,
317, 1, 954,
318, 1, 1563,
319, 1, 659,
320, 1, 50149,
321, 1, 1209,
322, 1, 2001,
323, 1, 881,
324, 1, 2989,
325, 1, 638,
326, 1, 1440,
327, 1, 667,
328, 1, 6449,
329, 1, 906,
330, 1, 1834,
331, 1, 680,
332, 1, 2969,
333, 1, 943,
334, 1, 1661,
335, 1, 809,
336, 1, 12551,
337, 1, 918,
338, 1, 1718,
339, 1, 898,
340, 1, 3700,
341, 1, 687,
342, 1, 1910,
343, 1, 788,
344, 1, 5894,
345, 1, 736,
346, 1, 1590,
347, 1, 908,
348, 1, 3358,
349, 1, 677,
350, 1, 1761,
351, 1, 741,
352, 1, 24083,
353, 1, 995,
354, 1, 1536,
355, 1, 1125,
356, 1, 3133,
357, 1, 739,
358, 1, 1509,
359, 1, 863,
360, 1, 5987,
361, 1, 862,
362, 1, 1736,
363, 1, 907,
364, 1, 3205,
365, 1, 651,
366, 1, 1610,
367, 1, 639,
368, 1, 12843,
369, 1, 752,
370, 1, 1921,
371, 1, 855,
372, 1, 3331,
373, 1, 783,
374, 1, 1698,
375, 1, 708,
376, 1, 5636,
377, 1, 670,
378, 1, 1541,
379, 1, 899,
380, 1, 2839,
381, 1, 854,
382, 1, 1861,
383, 1, 714,
384, 1, 102884,
385, 1, 865,
386, 1, 1344,
387, 1, 709,
388, 1, 3545,
389, 1, 916,
390, 1, 1613,
391, 1, 634,
392, 1, 7137,
393, 1, 894,
394, 1, 2072,
395, 1, 1074,
396, 1, 3537,
397, 1, 1234,
398, 1, 1572,
399, 1, 1084,
400, 1, 12401,
401, 1, 804,
402, 1, 1841,
403, 1, 754,
404, 1, 3346,
405, 1, 1291,
406, 1, 1575,
407, 1, 737,
408, 1, 6306,
409, 1, 953,
410, 1, 1486,
411, 1, 637,
412, 1, 3345,
413, 1, 903,
414, 1, 1633,
415, 1, 816,
416, 1, 25772,
417, 1, 885,
418, 1, 1731,
419, 1, 775,
420, 1, 3106,
421, 1, 716,
422, 1, 1485,
423, 1, 661,
424, 1, 5956,
425, 1, 1306,
426, 1, 1667,
427, 1, 683,
428, 1, 2927,
429, 1, 1005,
430, 1, 1714,
431, 1, 757,
432, 1, 12978,
433, 1, 1174,
434, 1, 1498,
435, 1, 709,
436, 1, 3274,
437, 1, 1016,
438, 1, 2021,
439, 1, 790,
440, 1, 5519,
441, 1, 770,
442, 1, 1600,
443, 1, 612,
444, 1, 3310,
445, 1, 849,
446, 1, 1800,
447, 1, 913,
448, 1, 53722,
449, 1, 1126,
450, 1, 1933,
451, 1, 824,
452, 1, 3667,
453, 1, 915,
454, 1, 1773,
455, 1, 656,
456, 1, 6397,
457, 1, 811,
458, 1, 1762,
459, 1, 745,
460, 1, 3769,
461, 1, 804,
462, 1, 1526,
463, 1, 663,
464, 1, 12715,
465, 1, 751,
466, 1, 1628,
467, 1, 947,
468, 1, 2958,
469, 1, 629,
470, 1, 1619,
471, 1, 639,
472, 1, 6922,
473, 1, 808,
474, 1, 1727,
475, 1, 813,
476, 1, 3026,
477, 1, 739,
478, 1, 1624,
479, 1, 630,
480, 1, 25611,
481, 1, 1075,
482, 1, 1662,
483, 1, 1027,
484, 1, 3364,
485, 1, 723,
486, 1, 1596,
487, 1, 900,
488, 1, 7096,
489, 1, 774,
490, 1, 1999,
491, 1, 1096,
492, 1, 3626,
493, 1, 856,
494, 1, 1580,
495, 1, 631,
496, 1, 13328,
497, 1, 687,
498, 1, 1431,
499, 1, 856,
500, 1, 3436,
501, 1, 792,
502, 1, 1600,
503, 1, 653,
504, 1, 6805,
505, 1, 848,
506, 1, 1707,
507, 1, 1020,
508, 1, 3198,
509, 1, 997,
510, 1, 1877,
511, 1, 633,
512, 1, 432174,
513, 1, 1034,
514, 1, 2071,
515, 1, 664,
516, 1, 2869,
517, 1, 874,
518, 1, 1743,
519, 1, 780,
520, 1, 7063,
521, 1, 819,
522, 1, 1932,
523, 1, 701,
524, 1, 2894,
525, 1, 984,
526, 1, 1449,
527, 1, 639,
528, 1, 11622,
529, 1, 800,
530, 1, 1669,
531, 1, 636,
532, 1, 2801,
533, 1, 633,
534, 1, 1435,
535, 1, 637,
536, 1, 5699,
537, 1, 945,
538, 1, 1768,
539, 1, 856,
540, 1, 3477,
541, 1, 930,
542, 1, 1896,
543, 1, 817,
544, 1, 25492,
545, 1, 759,
546, 1, 1570,
547, 1, 876,
548, 1, 3367,
549, 1, 677,
550, 1, 1937,
551, 1, 948,
552, 1, 7033,
553, 1, 666,
554, 1, 1578,
555, 1, 677,
556, 1, 3383,
557, 1, 771,
558, 1, 1704,
559, 1, 657,
560, 1, 12947,
561, 1, 1043,
562, 1, 1975,
563, 1, 1017,
564, 1, 3376,
565, 1, 1185,
566, 1, 1818,
567, 1, 837,
568, 1, 6604,
569, 1, 717,
570, 1, 1703,
571, 1, 1187,
572, 1, 3381,
573, 1, 814,
574, 1, 1413,
575, 1, 670,
576, 1, 52987,
577, 1, 1276,
578, 1, 1867,
579, 1, 666,
580, 1, 2931,
581, 1, 642,
582, 1, 1405,
583, 1, 862,
584, 1, 6194,
585, 1, 872,
586, 1, 1911,
587, 1, 876,
588, 1, 3867,
589, 1, 911,
590, 1, 1601,
591, 1, 829,
592, 1, 13159,
593, 1, 1285,
594, 1, 2146,
595, 1, 852,
596, 1, 3443,
597, 1, 767,
598, 1, 1307,
599, 1, 612,
600, 1, 5520,
601, 1, 834,
602, 1, 1838,
603, 1, 648,
604, 1, 3275,
605, 1, 644,
606, 1, 1699,
607, 1, 612,
608, 1, 24114,
609, 1, 1061,
610, 1, 1939,
611, 1, 950,
612, 1, 3371,
613, 1, 693,
614, 1, 1863,
615, 1, 844,
616, 1, 6676,
617, 1, 827,
618, 1, 1509,
619, 1, 1099,
620, 1, 2984,
621, 1, 1165,
622, 1, 1825,
623, 1, 954,
624, 1, 13599,
625, 1, 744,
626, 1, 1724,
627, 1, 852,
628, 1, 3271,
629, 1, 842,
630, 1, 2122,
631, 1, 1029,
632, 1, 7072,
633, 1, 963,
634, 1, 1504,
635, 1, 776,
636, 1, 3458,
637, 1, 697,
638, 1, 1367,
639, 1, 703,
640, 1, 102038,
641, 1, 804,
642, 1, 1866,
643, 1, 814,
644, 1, 3476,
645, 1, 815,
646, 1, 1420,
647, 1, 708,
648, 1, 5813,
649, 1, 707,
650, 1, 1653,
651, 1, 734,
652, 1, 3424,
653, 1, 671,
654, 1, 1629,
655, 1, 665,
656, 1, 12684,
657, 1, 1026,
658, 1, 1755,
659, 1, 741,
660, 1, 3179,
661, 1, 828,
662, 1, 1481,
663, 1, 939,
664, 1, 6745,
665, 1, 790,
666, 1, 1618,
667, 1, 787,
668, 1, 3292,
669, 1, 1047,
670, 1, 1641,
671, 1, 987,
672, 1, 24942,
673, 1, 635,
674, 1, 1418,
675, 1, 644,
676, 1, 3548,
677, 1, 778,
678, 1, 1609,
679, 1, 1031,
680, 1, 5763,
681, 1, 644,
682, 1, 1408,
683, 1, 925,
684, 1, 3392,
685, 1, 855,
686, 1, 1471,
687, 1, 946,
688, 1, 13079,
689, 1, 638,
690, 1, 1510,
691, 1, 708,
692, 1, 2998,
693, 1, 749,
694, 1, 1601,
695, 1, 796,
696, 1, 5779,
697, 1, 814,
698, 1, 1795,
699, 1, 1025,
700, 1, 3428,
701, 1, 963,
702, 1, 1435,
703, 1, 1170,
704, 1, 51570,
705, 1, 918,
706, 1, 1408,
707, 1, 1055,
708, 1, 3168,
709, 1, 792,
710, 1, 2060,
711, 1, 826,
712, 1, 6670,
713, 1, 801,
714, 1, 1533,
715, 1, 1112,
716, 1, 3216,
717, 1, 761,
718, 1, 1378,
719, 1, 632,
720, 1, 11148,
721, 1, 753,
722, 1, 1622,
723, 1, 770,
724, 1, 2945,
725, 1, 895,
726, 1, 1688,
727, 1, 687,
728, 1, 6129,
729, 1, 840,
730, 1, 1912,
731, 1, 848,
732, 1, 2908,
733, 1, 1236,
734, 1, 1637,
735, 1, 816,
736, 1, 26997,
737, 1, 872,
738, 1, 1670,
739, 1, 724,
740, 1, 3148,
741, 1, 655,
742, 1, 2251,
743, 1, 692,
744, 1, 6997,
745, 1, 710,
746, 1, 2142,
747, 1, 794,
748, 1, 3030,
749, 1, 757,
750, 1, 1564,
751, 1, 690,
752, 1, 12706,
753, 1, 748,
754, 1, 1895,
755, 1, 743,
756, 1, 3057,
757, 1, 744,
758, 1, 1547,
759, 1, 1048,
760, 1, 6185,
761, 1, 699,
762, 1, 1648,
763, 1, 714,
764, 1, 3081,
765, 1, 691,
766, 1, 1723,
767, 1, 784,
768, 1, 209801,
769, 1, 918,
770, 1, 1402,
771, 1, 728,
772, 1, 2998,
773, 1, 650,
774, 1, 1983,
775, 1, 831,
776, 1, 6175,
777, 1, 769,
778, 1, 1451,
779, 1, 889,
780, 1, 3091,
781, 1, 823,
782, 1, 1538,
783, 1, 629,
784, 1, 13378,
785, 1, 679,
786, 1, 1777,
787, 1, 789,
788, 1, 3505,
789, 1, 756,
790, 1, 1437,
791, 1, 804,
792, 1, 6609,
793, 1, 724,
794, 1, 1559,
795, 1, 658,
796, 1, 2999,
797, 1, 988,
798, 1, 1561,
799, 1, 896,
800, 1, 23821,
801, 1, 690,
802, 1, 1646,
803, 1, 827,
804, 1, 2696,
805, 1, 1163,
806, 1, 1506,
807, 1, 977,
