dictSize,batchSize,appendTimeMillisec,
1, 2048, 108, 
2, 2048, 129, 
3, 2048, 39, 
4, 2048, 343, 
5, 2048, 36, 
6, 2048, 136, 
7, 2048, 28, 
8, 2048, 468, 
9, 2048, 17, 
10, 2048, 73, 
11, 2048, 23, 
12, 2048, 202, 
13, 2048, 25, 
14, 2048, 96, 
15, 2048, 22, 
16, 2048, 804, 
17, 2048, 30, 
18, 2048, 121, 
19, 2048, 27, 
20, 2048, 207, 
21, 2048, 32, 
22, 2048, 100, 
23, 2048, 22, 
24, 2048, 468, 
25, 2048, 22, 
26, 2048, 90, 
27, 2048, 24, 
28, 2048, 218, 
29, 2048, 27, 
30, 2048, 97, 
31, 2048, 25, 
32, 2048, 1579, 
33, 2048, 31, 
34, 2048, 72, 
35, 2048, 27, 
36, 2048, 211, 
37, 2048, 25, 
38, 2048, 110, 
39, 2048, 27, 
40, 2048, 432, 
41, 2048, 15, 
42, 2048, 90, 
43, 2048, 14, 
44, 2048, 188, 
45, 2048, 24, 
46, 2048, 68, 
47, 2048, 13, 
48, 2048, 793, 
49, 2048, 30, 
50, 2048, 116, 
51, 2048, 23, 
52, 2048, 244, 
53, 2048, 28, 
54, 2048, 107, 
55, 2048, 28, 
56, 2048, 443, 
57, 2048, 21, 
58, 2048, 87, 
59, 2048, 26, 
60, 2048, 204, 
61, 2048, 25, 
62, 2048, 87, 
63, 2048, 20, 
64, 2048, 2959, 
65, 2048, 24, 
66, 2048, 98, 
67, 2048, 20, 
68, 2048, 209, 
69, 2048, 21, 
70, 2048, 92, 
71, 2048, 20, 
72, 2048, 460, 
73, 2048, 30, 
74, 2048, 141, 
75, 2048, 33, 
76, 2048, 229, 
77, 2048, 34, 
78, 2048, 125, 
79, 2048, 26, 
80, 2048, 807, 
81, 2048, 28, 
82, 2048, 118, 
83, 2048, 27, 
84, 2048, 223, 
85, 2048, 14, 
86, 2048, 84, 
87, 2048, 13, 
88, 2048, 382, 
89, 2048, 29, 
90, 2048, 82, 
91, 2048, 17, 
92, 2048, 186, 
93, 2048, 25, 
94, 2048, 94, 
95, 2048, 20, 
96, 2048, 1560, 
97, 2048, 14, 
98, 2048, 67, 
99, 2048, 20, 
100, 2048, 192, 
101, 2048, 14, 
102, 2048, 77, 
103, 2048, 24, 
104, 2048, 457, 
105, 2048, 29, 
106, 2048, 100, 
107, 2048, 23, 
108, 2048, 200, 
109, 2048, 29, 
110, 2048, 92, 
111, 2048, 13, 
112, 2048, 837, 
113, 2048, 29, 
114, 2048, 120, 
115, 2048, 26, 
116, 2048, 218, 
117, 2048, 26, 
118, 2048, 74, 
119, 2048, 16, 
120, 2048, 392, 
121, 2048, 28, 
122, 2048, 85, 
123, 2048, 14, 
124, 2048, 179, 
125, 2048, 14, 
126, 2048, 85, 
127, 2048, 13, 
128, 2048, 5810, 
129, 2048, 33, 
130, 2048, 103, 
131, 2048, 20, 
132, 2048, 206, 
133, 2048, 27, 
134, 2048, 101, 
135, 2048, 25, 
136, 2048, 425, 
137, 2048, 15, 
138, 2048, 68, 
139, 2048, 14, 
140, 2048, 196, 
141, 2048, 14, 
142, 2048, 68, 
143, 2048, 14, 
144, 2048, 822, 
145, 2048, 29, 
146, 2048, 102, 
147, 2048, 22, 
148, 2048, 240, 
149, 2048, 27, 
150, 2048, 70, 
151, 2048, 13, 
152, 2048, 399, 
153, 2048, 18, 
154, 2048, 93, 
155, 2048, 15, 
156, 2048, 191, 
157, 2048, 21, 
158, 2048, 79, 
159, 2048, 14, 
160, 2048, 1499, 
161, 2048, 14, 
162, 2048, 67, 
163, 2048, 14, 
164, 2048, 181, 
165, 2048, 26, 
166, 2048, 74, 
167, 2048, 14, 
168, 2048, 376, 
169, 2048, 15, 
170, 2048, 65, 
171, 2048, 14, 
172, 2048, 158, 
173, 2048, 14, 
174, 2048, 64, 
175, 2048, 14, 
176, 2048, 758, 
177, 2048, 26, 
178, 2048, 76, 
179, 2048, 16, 
180, 2048, 185, 
181, 2048, 14, 
182, 2048, 75, 
183, 2048, 13, 
184, 2048, 369, 
185, 2048, 26, 
186, 2048, 93, 
187, 2048, 14, 
188, 2048, 190, 
189, 2048, 20, 
190, 2048, 84, 
191, 2048, 14, 
192, 2048, 2783, 
193, 2048, 25, 
194, 2048, 93, 
195, 2048, 20, 
196, 2048, 208, 
197, 2048, 28, 
198, 2048, 98, 
199, 2048, 14, 
200, 2048, 434, 
201, 2048, 24, 
202, 2048, 87, 
203, 2048, 14, 
204, 2048, 221, 
205, 2048, 26, 
206, 2048, 96, 
207, 2048, 24, 
208, 2048, 859, 
209, 2048, 28, 
210, 2048, 127, 
211, 2048, 24, 
212, 2048, 241, 
213, 2048, 29, 
214, 2048, 94, 
215, 2048, 15, 
216, 2048, 479, 
217, 2048, 28, 
218, 2048, 96, 
219, 2048, 23, 
220, 2048, 232, 
221, 2048, 14, 
222, 2048, 70, 
223, 2048, 13, 
224, 2048, 1505, 
225, 2048, 20, 
226, 2048, 95, 
227, 2048, 14, 
228, 2048, 196, 
229, 2048, 23, 
230, 2048, 78, 
231, 2048, 22, 
232, 2048, 467, 
233, 2048, 15, 
234, 2048, 70, 
235, 2048, 14, 
236, 2048, 164, 
237, 2048, 29, 
238, 2048, 83, 
239, 2048, 15, 
240, 2048, 870, 
241, 2048, 17, 
242, 2048, 71, 
243, 2048, 14, 
244, 2048, 185, 
245, 2048, 16, 
246, 2048, 81, 
247, 2048, 21, 
248, 2048, 438, 
249, 2048, 25, 
250, 2048, 116, 
251, 2048, 23, 
252, 2048, 213, 
253, 2048, 29, 
254, 2048, 147, 
255, 2048, 30, 
256, 2048, 11477, 
257, 2048, 37, 
258, 2048, 98, 
259, 2048, 20, 
260, 2048, 255, 
261, 2048, 50, 
262, 2048, 123, 
263, 2048, 31, 
264, 2048, 447, 
265, 2048, 15, 
266, 2048, 70, 
267, 2048, 14, 
268, 2048, 182, 
269, 2048, 15, 
270, 2048, 70, 
271, 2048, 14, 
272, 2048, 735, 
273, 2048, 21, 
274, 2048, 69, 
275, 2048, 14, 
276, 2048, 190, 
277, 2048, 14, 
278, 2048, 75, 
279, 2048, 20, 
280, 2048, 384, 
281, 2048, 25, 
282, 2048, 89, 
283, 2048, 15, 
284, 2048, 191, 
285, 2048, 14, 
286, 2048, 77, 
287, 2048, 22, 
288, 2048, 1520, 
289, 2048, 28, 
290, 2048, 100, 
291, 2048, 21, 
292, 2048, 231, 
293, 2048, 20, 
294, 2048, 83, 
295, 2048, 25, 
