dictSize,batchSize,appendTimeMillisec,
1, 64, 88, 
2, 64, 141, 
3, 64, 27, 
4, 64, 244, 
5, 64, 24, 
6, 64, 99, 
7, 64, 21, 
8, 64, 455, 
9, 64, 15, 
10, 64, 87, 
11, 64, 23, 
12, 64, 258, 
13, 64, 29, 
14, 64, 93, 
15, 64, 27, 
16, 64, 856, 
17, 64, 30, 
18, 64, 96, 
19, 64, 20, 
20, 64, 185, 
21, 64, 14, 
22, 64, 67, 
23, 64, 14, 
24, 64, 393, 
25, 64, 19, 
26, 64, 103, 
27, 64, 21, 
28, 64, 226, 
29, 64, 22, 
30, 64, 84, 
31, 64, 14, 
32, 64, 1501, 
33, 64, 27, 
34, 64, 90, 
35, 64, 20, 
36, 64, 204, 
37, 64, 14, 
38, 64, 95, 
39, 64, 17, 
40, 64, 404, 
41, 64, 24, 
42, 64, 63, 
43, 64, 14, 
44, 64, 187, 
45, 64, 20, 
46, 64, 66, 
47, 64, 20, 
48, 64, 827, 
49, 64, 15, 
50, 64, 101, 
51, 64, 31, 
52, 64, 234, 
53, 64, 25, 
54, 64, 113, 
55, 64, 14, 
56, 64, 390, 
57, 64, 21, 
58, 64, 70, 
59, 64, 21, 
60, 64, 204, 
61, 64, 21, 
62, 64, 67, 
63, 64, 14, 
64, 64, 46896, 
65, 64, 20, 
66, 64, 99, 
67, 64, 14, 
68, 64, 166, 
69, 64, 14, 
70, 64, 68, 
71, 64, 14, 
72, 64, 382, 
73, 64, 34, 
74, 64, 113, 
75, 64, 14, 
76, 64, 188, 
77, 64, 14, 
78, 64, 69, 
79, 64, 25, 
80, 64, 876, 
81, 64, 28, 
82, 64, 117, 
83, 64, 23, 
84, 64, 206, 
85, 64, 14, 
86, 64, 89, 
87, 64, 14, 
88, 64, 404, 
89, 64, 15, 
90, 64, 96, 
91, 64, 25, 
92, 64, 242, 
93, 64, 26, 
94, 64, 95, 
95, 64, 23, 
96, 64, 1629, 
97, 64, 27, 
98, 64, 87, 
99, 64, 22, 
100, 64, 224, 
101, 64, 16, 
102, 64, 66, 
103, 64, 14, 
104, 64, 403, 
105, 64, 23, 
106, 64, 93, 
107, 64, 23, 
108, 64, 223, 
109, 64, 20, 
110, 64, 91, 
111, 64, 20, 
112, 64, 808, 
113, 64, 18, 
114, 64, 96, 
115, 64, 15, 
116, 64, 190, 
117, 64, 28, 
118, 64, 131, 
119, 64, 32, 
120, 64, 446, 
121, 64, 15, 
122, 64, 66, 
123, 64, 14, 
124, 64, 178, 
125, 64, 14, 
126, 64, 79, 
127, 64, 13, 
128, 64, 93061, 
129, 64, 36, 
130, 64, 150, 
131, 64, 20, 
132, 64, 231, 
133, 64, 28, 
134, 64, 98, 
135, 64, 24, 
136, 64, 425, 
137, 64, 26, 
138, 64, 95, 
139, 64, 20, 
140, 64, 207, 
141, 64, 14, 
142, 64, 70, 
143, 64, 14, 
144, 64, 766, 
145, 64, 19, 
146, 64, 68, 
147, 64, 14, 
148, 64, 198, 
149, 64, 16, 
150, 64, 65, 
151, 64, 14, 
152, 64, 468, 
153, 64, 30, 
154, 64, 83, 
155, 64, 14, 
156, 64, 201, 
157, 64, 22, 
158, 64, 107, 
159, 64, 21, 
160, 64, 1522, 
161, 64, 26, 
162, 64, 104, 
163, 64, 24, 
164, 64, 222, 
165, 64, 14, 
166, 64, 63, 
167, 64, 14, 
168, 64, 424, 
169, 64, 26, 
170, 64, 101, 
171, 64, 26, 
172, 64, 204, 
173, 64, 25, 
174, 64, 95, 
175, 64, 23, 
176, 64, 831, 
177, 64, 15, 
178, 64, 92, 
179, 64, 14, 
180, 64, 191, 
181, 64, 14, 
182, 64, 76, 
183, 64, 22, 
184, 64, 411, 
185, 64, 24, 
186, 64, 109, 
187, 64, 28, 
188, 64, 220, 
189, 64, 21, 
190, 64, 79, 
191, 64, 14, 
192, 64, 45387, 
193, 64, 30, 
194, 64, 116, 
195, 64, 26, 
196, 64, 217, 
197, 64, 25, 
198, 64, 89, 
199, 64, 14, 
200, 64, 435, 
201, 64, 15, 
