dictSize,numValues,forestBytes,frontierBytes,totalBytes,verifyUsec,
10000, 0, 0, 10272, 10272, 201624, 
10000, 0, 0, 10272, 10272, 264157, 
10000, 0, 0, 10272, 10272, 201892, 
10000, 0, 0, 10272, 10272, 201192, 
10000, 0, 0, 10272, 10272, 202209, 
10000, 0, 0, 10272, 10272, 201317, 
10000, 0, 0, 10272, 10272, 201292, 
10000, 0, 0, 10272, 10272, 256850, 
10000, 0, 0, 10272, 10272, 204978, 
10000, 0, 0, 10272, 10272, 202416, 
10000, 1, 2016, 10272, 12288, 370346, 
10000, 1, 2016, 10272, 12288, 271401, 
10000, 1, 2016, 10272, 12288, 269854, 
10000, 1, 2016, 10272, 12288, 269217, 
10000, 1, 2016, 10272, 12288, 278040, 
10000, 1, 2016, 10272, 12288, 286962, 
10000, 1, 2016, 10272, 12288, 269244, 
10000, 1, 2016, 10272, 12288, 270110, 
10000, 1, 2016, 10272, 12288, 276461, 
10000, 1, 2016, 10272, 12288, 269131, 
10000, 2, 3968, 10272, 14240, 333333, 
10000, 2, 3648, 10272, 13920, 330843, 
10000, 2, 3968, 10272, 14240, 333742, 
10000, 2, 3648, 10272, 13920, 330607, 
10000, 2, 3488, 10272, 13760, 430062, 
10000, 2, 3232, 10272, 13504, 342115, 
10000, 2, 3968, 10272, 14240, 333750, 
10000, 2, 3392, 10272, 13664, 339241, 
10000, 2, 3648, 10272, 13920, 332679, 
10000, 2, 3552, 10272, 13824, 332160, 
10000, 4, 7392, 10336, 17728, 464454, 
10000, 4, 6656, 10336, 16992, 460182, 
10000, 4, 6976, 10336, 17312, 463045, 
10000, 4, 6816, 10240, 17056, 516324, 
10000, 4, 6816, 10240, 17056, 450645, 
10000, 4, 7392, 10240, 17632, 443428, 
10000, 4, 7392, 10240, 17632, 539878, 
10000, 4, 7136, 10336, 17472, 469420, 
10000, 4, 6912, 10240, 17152, 445938, 
10000, 4, 7296, 10592, 17888, 470178, 
10000, 8, 13184, 10272, 23456, 695215, 
10000, 8, 12800, 10272, 23072, 760228, 
10000, 8, 13184, 10496, 23680, 764068, 
10000, 8, 12960, 10272, 23232, 682797, 
10000, 8, 13600, 10400, 24000, 682320, 
10000, 8, 12544, 10496, 23040, 780167, 
10000, 8, 13088, 10944, 24032, 775449, 
10000, 8, 12352, 10240, 22592, 702829, 
10000, 8, 12608, 10432, 23040, 700744, 
10000, 8, 13248, 10304, 23552, 721710, 
10000, 16, 22784, 10752, 33536, 1181217, 
10000, 16, 24224, 10880, 35104, 1183325, 
10000, 16, 23168, 10432, 33600, 1166896, 
10000, 16, 23904, 10848, 34752, 1265410, 
10000, 16, 24064, 11136, 35200, 1183731, 
10000, 16, 21824, 10752, 32576, 1151443, 
10000, 16, 23744, 10752, 34496, 1168375, 
10000, 16, 24544, 10880, 35424, 1272853, 
10000, 16, 23840, 10496, 34336, 1154622, 
10000, 16, 23840, 10496, 34336, 1229524, 
10000, 32, 41312, 11168, 52480, 2137437, 
10000, 32, 44800, 11648, 56448, 2319551, 
10000, 32, 44160, 11424, 55584, 2129206, 
10000, 32, 42656, 11392, 54048, 2082660, 
10000, 32, 41600, 11328, 52928, 2145203, 
10000, 32, 43680, 11200, 54880, 2250893, 
10000, 32, 44096, 11520, 55616, 2143041, 
10000, 32, 41536, 11616, 53152, 2254753, 
10000, 32, 42304, 11168, 53472, 2171528, 
10000, 32, 43776, 11264, 55040, 2176644, 
