dictSize,numValues,forestBytes,frontierBytes,totalBytes,verifyUsec,
262143, 0, 0, 36448, 36448, 735485, 
262143, 0, 0, 36448, 36448, 735860, 
262143, 0, 0, 36480, 36480, 734145, 
262143, 0, 0, 36480, 36480, 798930, 
262143, 0, 0, 36448, 36448, 737449, 
262143, 0, 0, 36448, 36448, 820089, 
262143, 0, 0, 36448, 36448, 734086, 
262143, 0, 0, 36448, 36448, 827188, 
262143, 0, 0, 36448, 36448, 733406, 
262143, 0, 0, 35328, 35328, 721207, 
262143, 1, 2336, 36448, 38784, 802918, 
262143, 1, 2656, 36448, 39104, 853034, 
262143, 1, 2656, 36448, 39104, 806174, 
262143, 1, 2496, 36448, 38944, 894216, 
262143, 1, 2656, 36448, 39104, 808133, 
262143, 1, 2656, 36448, 39104, 910210, 
262143, 1, 2656, 36448, 39104, 805926, 
262143, 1, 2656, 36448, 39104, 805866, 
262143, 1, 2496, 36448, 38944, 898023, 
262143, 1, 2656, 36448, 39104, 803805, 
262143, 2, 4672, 36448, 41120, 879276, 
262143, 2, 5152, 36480, 41632, 877936, 
262143, 2, 5152, 36448, 41600, 885842, 
262143, 2, 5088, 36448, 41536, 874508, 
262143, 2, 4928, 36448, 41376, 873435, 
262143, 2, 4832, 36448, 41280, 987951, 
262143, 2, 4672, 36448, 41120, 967304, 
262143, 2, 4672, 36448, 41120, 873848, 
262143, 2, 5088, 36448, 41536, 961230, 
262143, 2, 4992, 36448, 41440, 1022628, 
262143, 4, 10176, 36448, 46624, 1015392, 
262143, 4, 9024, 36448, 45472, 1013040, 
262143, 4, 9760, 36448, 46208, 1092917, 
262143, 4, 8960, 36448, 45408, 1015727, 
262143, 4, 8960, 36480, 45440, 1058965, 
262143, 4, 9440, 36448, 45888, 1012340, 
262143, 4, 10176, 36416, 46592, 1008334, 
262143, 4, 9600, 36448, 46048, 1113210, 
262143, 4, 10016, 36512, 46528, 1015233, 
262143, 4, 8320, 36448, 44768, 1008183, 
262143, 8, 18016, 36768, 54784, 1293496, 
262143, 8, 19008, 36480, 55488, 1280836, 
262143, 8, 19168, 37280, 56448, 1358355, 
262143, 8, 17792, 36512, 54304, 1282252, 
262143, 8, 17952, 36416, 54368, 1281922, 
262143, 8, 19008, 36608, 55616, 1392805, 
262143, 8, 18144, 34528, 52672, 1309701, 
262143, 8, 17440, 36480, 53920, 1285356, 
262143, 8, 18272, 37024, 55296, 1307790, 
262143, 8, 17728, 34528, 52256, 1305458, 
262143, 16, 35648, 36960, 72608, 1800835, 
262143, 16, 33984, 37312, 71296, 2043875, 
262143, 16, 35136, 37344, 72480, 1914663, 
262143, 16, 35232, 37088, 72320, 1819358, 
262143, 16, 35488, 35488, 70976, 1964727, 
262143, 16, 35072, 37024, 72096, 1835173, 
262143, 16, 33984, 36000, 69984, 1768841, 
262143, 16, 34112, 36512, 70624, 1975152, 
262143, 16, 34752, 36864, 71616, 1818266, 
262143, 16, 36768, 36704, 73472, 1820460, 
262143, 32, 66720, 37632, 104352, 2893070, 
262143, 32, 65824, 35584, 101408, 2912847, 
262143, 32, 65984, 36896, 102880, 2849376, 
262143, 32, 66848, 37632, 104480, 2828384, 
262143, 32, 66528, 37536, 104064, 2996707, 
262143, 32, 67520, 37632, 105152, 2991003, 
262143, 32, 67424, 37376, 104800, 2805618, 
262143, 32, 64704, 37856, 102560, 2890620, 
262143, 32, 67744, 38240, 105984, 2951717, 
262143, 32, 66848, 38048, 104896, 3079327, 
